MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,PavedDrive,MoSold,YrSold,SaleType,SalePrice
120,RM,47,3072,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,0,1375,1375,GasA,Y,SBrkr,1414,0,1414,0,0,2,0,2,1,6,1,398,Y,5,2006,WD,178740
120,RL,47,3196,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,0,1374,1374,GasA,Y,SBrkr,1557,0,1557,0,0,2,0,2,1,7,1,420,Y,10,2006,WD,234000
120,RL,47,3196,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0,1273,1273,GasA,Y,SBrkr,1456,0,1456,0,0,2,0,2,1,7,1,400,Y,5,2006,WD,215000
50,RM,57,6240,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,0,896,896,GasA,Y,FuseA,896,448,1344,0,0,1,0,3,1,7,0,240,Y,4,2006,WD,115000
75,RL,57,11888,IR1,Bnk,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,0,844,844,GasA,N,FuseA,1445,689,2134,0,0,2,0,5,1,10,0,441,Y,7,2009,WD,214500
50,RL,57,9144,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,399,484,883,GasA,Y,SBrkr,988,517,1505,1,0,1,0,3,1,8,0,240,N,7,2008,WD,145000
30,RL,57,7446,Reg,Lvl,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,266,522,788,GasA,Y,FuseA,788,0,788,0,0,1,0,2,1,4,2,0,Y,4,2006,WD,100000
50,RL,57,7015,IR1,Bnk,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,185,524,709,GasA,Y,SBrkr,979,224,1203,1,0,1,0,3,1,5,1,352,Y,7,2009,WD,110000
20,RL,57,6627,IR1,Lvl,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,3,6,1949,1950,Hip,CompShg,VinylSd,VinylSd,0,0,0,Floor,N,SBrkr,720,0,720,0,0,1,0,2,1,4,0,287,Y,7,2008,WD,72500
30,RL,57,8854,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,952,952,Grav,N,FuseF,952,0,952,0,0,1,0,2,1,4,1,192,P,5,2009,WD,121000
